gene,condition,n_sig,group
TIMM10B,Stim48hr,0,other
TIMM10B,Stim8hr,0,other
TIMM13,Rest,0,other
TIMM13,Stim48hr,0,other
TIMM13,Stim8hr,0,other
TIMM17A,Rest,0,other
TIMM17A,Stim48hr,0,other
TIMM17A,Stim8hr,0,other
TIMM17B,Rest,0,other
TIMM17B,Stim48hr,0,other
TIMM17B,Stim8hr,0,other
TIMM21,Rest,0,other
TIMM21,Stim48hr,0,other
TIMM21,Stim8hr,0,other
TIMM23,Rest,0,other
TIMM23,Stim48hr,0,other
TIMM23,Stim8hr,0,other
TIMM29,Rest,0,other
TIMM29,Stim48hr,0,other
TIMM29,Stim8hr,0,other
TIMM50,Rest,0,other
TIMM50,Stim8hr,0,other
TIMM8A,Rest,0,other
TIMM8A,Stim48hr,0,other
TIMM8A,Stim8hr,0,other
TIMM8B,Rest,0,other
TIMM8B,Stim48hr,2,other
TIMM8B,Stim8hr,2,other
TIMM9,Rest,0,other
TIMM9,Stim48hr,0,other
TIMM9,Stim8hr,0,other
TIMMDC1,Rest,0,other
TIMMDC1,Stim48hr,1,other
TIMMDC1,Stim8hr,0,other
TIMP1,Rest,0,other
TIMP1,Stim48hr,0,other
TIMP1,Stim8hr,0,other
TIMP2,Stim48hr,0,other
TIMP3,Rest,0,other
TIMP3,Stim48hr,0,other
TIMP3,Stim8hr,0,other
TIPARP,Rest,0,other
TIPARP,Stim48hr,0,other
TIPARP,Stim8hr,0,other
TIPE1,Rest,0,other
TIPE1,Stim48hr,0,other
TIPE1,Stim8hr,0,other
TIPE2,Rest,0,other
TIPE2,Stim48hr,0,other
TIPE2,Stim8hr,0,other
TIPRL,Rest,1,other
TIPRL,Stim48hr,1,other
TIPRL,Stim8hr,2,other
TIRAP,Rest,0,other
TIRAP,Stim48hr,0,other
TIRAP,Stim8hr,0,other
TJAP1,Rest,0,other
TJAP1,Stim48hr,0,other
TJAP1,Stim8hr,0,other
TJP3,Rest,0,other
TJP3,Stim48hr,0,other
TJP3,Stim8hr,0,other
TK1,Rest,0,other
TK1,Stim48hr,0,other
TK1,Stim8hr,0,other
TK2,Rest,0,other
TK2,Stim48hr,0,other
TK2,Stim8hr,0,other
TKFC,Rest,0,other
TKFC,Stim48hr,0,other
TKT,Rest,0,other
TKT,Stim48hr,0,other
TKT,Stim8hr,0,other
TKTL1,Rest,0,other
TKTL1,Stim48hr,0,other
TKTL1,Stim8hr,0,other
TLCD1,Rest,0,other
TLCD1,Stim48hr,0,other
TLCD1,Stim8hr,0,other
TLCD3A,Rest,0,other
TLCD3A,Stim48hr,0,other
TLCD3A,Stim8hr,0,other
TLCD5,Rest,0,other
TLCD5,Stim48hr,0,other
TLCD5,Stim8hr,0,other
