perm,genetic,genetic+observational,genetic+perturbational,full
71,0.4778081654142536,0.5096364013465435,0.5017535219132404,0.513245823960178
72,0.4735925270026643,0.4800270744587501,0.4677790647585316,0.48486158043363803
73,0.5100826592638683,0.5167474911852454,0.5271569744252461,0.5155149731169929
74,0.46205995628519925,0.49164212894270803,0.4780468897078767,0.49583262336667777
75,0.5159548333572649,0.5134742577258732,0.4994577450182676,0.4979399639432664
76,0.5209212335870068,0.5087859251104835,0.49621890904449656,0.4950326265575392
77,0.49654005328738493,0.48490323712886296,0.50794854736036,0.5001183969112462
78,0.4681156208618516,0.4646573014885369,0.4713830948164457,0.46828548636704476
79,0.49601865058472533,0.5038083887745497,0.48942803809888474,0.4892353100719539
80,0.5016922414205714,0.46590851800443533,0.5077368177539527,0.48576494519695596
81,0.5184808468546085,0.4874978222371129,0.5066293814515229,0.48139544344995927
82,0.490285454458431,0.4970501284321703,0.49649300403643964,0.4965511255763493
83,0.49088034269851144,0.4765307678807894,0.4690664177794796,0.45580256545254394
84,0.5053130554093077,0.5131204869254455,0.48251669618213433,0.4928602402718614
85,0.5117633338119626,0.5039253338438712,0.5081162590341263,0.5006105872780358
86,0.5041851018682493,0.5031271558257152,0.5081855964517622,0.5079283172992549
87,0.5050203257869462,0.5066399910655882,0.5025962124475502,0.4954792673782288
88,0.525995149890713,0.5202348793056686,0.5189496482075335,0.5217090572600074
89,0.5174503741284959,0.5153019352574227,0.5057647218366599,0.5115335120215702
90,0.5015346128687439,0.4919944638555178,0.4955330333923642,0.48942293272068793
91,0.5191626222498763,0.5254444550806491,0.5001036710860097,0.5028244707158698
92,0.48485740040523945,0.5127807080521386,0.48863756601094466,0.5058244068986423
93,0.47481290384339253,0.4735906922573749,0.4664772092726432,0.46463242872413413
94,0.49853432569122036,0.5011758324159608,0.48098653456500584,0.48493635826991494
95,0.4718057882225308,0.45852229614384404,0.4645832415960689,0.4532223711290863
96,0.4942754191994129,0.49679931077394346,0.48447934714976304,0.4934856171923611
97,0.479922637566011,0.4594890154597234,0.4442035450469854,0.4392164361269324
98,0.48049268495030234,0.46682750203417406,0.4859911134510761,0.47665934363981555
99,0.5112378946696661,0.4782283380398539,0.5030499848434085,0.473313613810048
100,0.5209037476666826,0.47910284146205273,0.4767512404473587,0.4538249812536895
101,0.5030205970101629,0.4900435871663555,0.5099361030010051,0.4983008503645559
102,0.5151817833724214,0.5097226822380702,0.49830244579524247,0.5007252030185549
103,0.4966776113211761,0.5103622425373731,0.5012314969926132,0.5071091912761849
104,0.5383596419853539,0.5438504283731393,0.5591015332088898,0.559423985704941
105,0.5210292123358701,0.5127883182565134,0.5027218526141132,0.4973299988831985
106,0.48376899759089975,0.47748461207102855,0.49581335056398473,0.48518253322484406
107,0.5257519743454746,0.5232391231512947,0.5319252381180299,0.5305699676127571
108,0.5007544791716524,0.49744354568515775,0.4889704845322996,0.4909726862266469
109,0.5316572536256162,0.502719379696549,0.5338928668294006,0.5128995197753633
110,0.5114378659519138,0.4936921616490372,0.507402112350229,0.49162987603503566
111,0.4991700090939549,0.4799705164409132,0.5040434435775937,0.48162684471673123
112,0.479550216180858,0.5005366709743295,0.47269694794109673,0.4891035913144753
113,0.48541568946537117,0.5077692688141163,0.49341718917021654,0.5046750905406914
114,0.4767327334513952,0.48527152634853776,0.4932766157724277,0.4946680865999777
115,0.4821295011088244,0.4666371990618867,0.48378560602434634,0.4629027744539638
116,0.45717841701367284,0.48382427926418736,0.4569020086472343,0.4803603918377766
117,0.48791558576237654,0.47222315289012273,0.4807517828937922,0.47599254933869395
118,0.49101619362146814,0.4987726032642512,0.4915604428915586,0.4939903157357328
119,0.5206165701431101,0.5370581055856029,0.5135414094034685,0.5367409658737377
120,0.5149660811436046,0.49617730021219225,0.5152401123183203,0.4973960656679271
121,0.49202855820928854,0.5041321654780707,0.5149462020772507,0.5155931332663253
122,0.5059535251041019,0.503019863112047,0.5409489940809522,0.5358076070135133
