gene,group,mis_z_score
ARHGEF33,other,-0.738
ARHGEF35,other,6.75
ARHGEF37,other,1.06
ARHGEF38,other,-0.775
ARHGEF39,other,0.296
ARHGEF4,other,-0.276
ARHGEF40,other,1.47
ARHGEF5,other,13.7
ARHGEF6,other,1.67
ARHGEF7,other,2.07
ARHGEF9,other,4.13
ARID1A,other,3.64
ARID1B,other,2.36
ARID2,other,4.56
ARID3A,other,1.73
ARID3B,other,3.72
ARID3C,other,-0.587
ARID4A,other,2.06
ARID4B,other,3.65
ARID5A,other,1.78
ARID5B,other,2.84
ARIH1,other,6.48
ARIH2,other,5.44
ARL1,other,3.24
ARL10,other,0.559
ARL11,other,0.312
ARL13A,other,1.04
ARL13B,other,-0.226
ARL14,other,-1.15
ARL14EP,other,1.32
ARL14EPL,other,-0.878
ARL15,other,0.706
ARL16,other,-0.744
ARL17A,other,2.06
ARL2,other,0.744
ARL2-SNX15,other,0.596
ARL2BP,other,0.941
ARL3,other,1.67
ARL4A,other,2.24
ARL4C,other,3.07
ARL4D,other,0.905
ARL5A,other,1.23
ARL5B,other,1.37
ARL5C,other,0.743
ARL6,other,0.812
ARL6IP1,other,1.91
ARL6IP4,other,-0.997
ARL6IP5,other,1.1
ARL6IP6,other,-2.17
ARL8A,other,3.12
ARL8B,other,2.75
ARL9,other,-0.0995
ARMC1,other,2.02
ARMC10,other,2.32
ARMC12,other,0.879
ARMC2,other,1.47
ARMC3,other,1.12
ARMC5,other,1.37
ARMC6,other,0.898
ARMC7,other,0.133
ARMC8,other,3.6
ARMC9,other,1.17
ARMCX1,other,1.49
ARMCX2,other,1.72
ARMCX3,other,2.07
ARMCX4,other,2.81
ARMCX5,other,1.19
ARMCX5-GPRASP2,other,0.976
ARMCX6,other,-0.251
ARMH1,other,0.288
ARMH2,other,0.84
ARMH3,other,2.41
ARMH4,other,-0.0567
ARMS2,other,1.08
DCPH1,other,0.248
ARNT,other,3.15
ARNT2,other,2.29
BMAL1,other,3.79
BMAL2,other,0.955
ARPC1A,other,3.83
ARPC1B,other,1.12
ARPC2,other,3.43
ARPC3,other,1.62
ARPC4,other,3.32
ARPC4-TTLL3,other,1.98
ARPC5,other,1.68
ARPC5L,other,1.53
ARPIN,other,-0.502
ARPIN-AP3S2,other,-0.419
ARPP19,other,1.25
ARPP21,other,-0.432
ARR3,other,1.1
ARRB1,other,2.35
ARRB2,other,2.94
ARRDC1,other,-1.05
ARRDC2,other,0.622
ARRDC3,other,2.33
ARRDC4,other,0.164
ARRDC5,other,0.264
ARSA,other,0.0205
ARSB,other,0.346
ARSD,other,1.25
ARSF,other,-0.404
ARSG,other,0.76
ARSH,other,0.249
ARSI,other,0.988
ARSJ,other,0.897
ARSK,other,0.505
ARSL,other,3.55
ART1,other,-1.18
ART3,other,0.326
ART4,other,0.237
ART5,other,-0.644
