symbol	status	alias_symbol	prev_symbol
ADARB2	Approved	RED2|hRED2|ADAR3	
ADARB2-AS1	Approved	bA466B20.1	C10orf109|NCRNA00168
ADAT1	Approved		
ADAT2	Approved	dJ20N2.1|TAD2	DEADC1
ADAT3	Approved	TAD3	
ADCK1	Approved	FLJ39600	
ADCK2	Approved	MGC20727	
ADCK5	Approved	FLJ35454	
ADCP1	Approved		
ADCY1	Approved	AC1	DFNB44
ADCY2	Approved	HBAC2|KIAA1060|AC2	
ADCY2-AS1	Approved		
ADCY2-AS2	Approved		
ADCY3	Approved	AC3	
ADCY4	Approved	AC4	
ADCY5	Approved	AC5	
ADCY6	Approved	AC6	
ADCY6-DT	Approved		
ADCY7	Approved	KIAA0037|AC7	
ADCY8	Approved	HBAC1|AC8	ADCY3
ADCY9	Approved	AC9	
ADCY10	Approved	SAC|Sacy|SACI|HCA2|RP1-313L4.2	
ADCY10P1	Approved		
ADCYAP1	Approved	PACAP	
ADCYAP1R1	Approved	PAC1|PACAPR|PAC1R	
ADD1	Approved		
ADD1-DT	Approved		
ADD2	Approved	ADDB	
ADD2-AS1	Approved		
ADD3	Approved		ADDL
ADD3-AS1	Approved		
ADGB	Approved	FLJ23121|dJ408K24.1|CAPN16	C6orf103
ADGB-DT	Approved		
ADGRA1	Approved	KIAA1828	GPR123
ADGRA1-AS1	Approved		GPR123-AS1
ADGRA2	Approved	TEM5|DKFZp434C211|DKFZp434J0911|KIAA1531|FLJ14390	GPR124
ADGRA3	Approved	FLJ38547|PGR21	GPR125
ADGRA3P1	Approved		
ADGRB1	Approved		BAI1
ADGRB2	Approved		BAI2
ADGRB3	Approved	KIAA0550	BAI3
ADGRB3-DT	Approved	AL391807.1|RP3-525N10.2	
ADGRD1	Approved	DKFZp434B1272|PGR25	GPR133
ADGRD1-AS1	Approved	LACAT8	
ADGRD1-AS2	Approved		
ADGRD2	Approved	PGR24	GPR144
ADGRE1	Approved		TM7LN3|EMR1
ADGRE2	Approved	CD312	EMR2
